,n_null,pct
Churn,224,3.0824274115866244
customerID,0,0.0
customer_gender,0,0.0
customer_SeniorCitizen,0,0.0
customer_Partner,0,0.0
customer_Dependents,0,0.0
customer_tenure,0,0.0
phone_PhoneService,0,0.0
phone_MultipleLines,0,0.0
internet_InternetService,0,0.0
internet_OnlineSecurity,0,0.0
internet_OnlineBackup,0,0.0
internet_DeviceProtection,0,0.0
internet_TechSupport,0,0.0
internet_StreamingTV,0,0.0
internet_StreamingMovies,0,0.0
account_Contract,0,0.0
account_PaperlessBilling,0,0.0
account_PaymentMethod,0,0.0
account_Charges.Monthly,0,0.0
account_Charges.Total,0,0.0
